Charm++> Running on Gemini (GNI) with 45 processes
Charm++> static SMSG
Charm++> SMSG memory: 222.2KB
Charm++> memory pool init block size: 8MB, total memory pool limit 0MB (0 means no limit)
Charm++> memory pool registered memory limit: 200000MB, send limit: 100000MB
Charm++> only comm thread send/recv messages
Charm++> Cray TLB page size: 2048K
Charm++> Running in SMP mode: numNodes 45,  15 worker threads per process
Charm++> The comm. thread both sends and receives messages
Charm++> Using recursive bisection (scheme 3) for topology aware partitions
Charm++> TORUS A SIZE 11 USING 4 5 6 8 9 10
Charm++> TORUS B SIZE 6 USING 0 1 2 3 4 5
Charm++> TORUS C SIZE 8 USING 0 1 2 3 4 5 6 7
Charm++> TORUS MINIMAL MESH SIZE IS 7 BY 6 BY 8
Redirecting stdout to files output_002/0/job2.0.log through 44
EXCHANGE_ACCEPT 36 (38) 37 (44) RUN 6352
EXCHANGE_ACCEPT 16 (15) 17 (25) RUN 6352
EXCHANGE_ACCEPT 43 (35) 44 (43) RUN 6353
EXCHANGE_ACCEPT 21 (22) 22 (23) RUN 6353
EXCHANGE_ACCEPT 42 (30) 43 (43) RUN 6354
EXCHANGE_ACCEPT 16 (25) 17 (15) RUN 6354
EXCHANGE_ACCEPT 3 (8) 4 (0) RUN 6355
EXCHANGE_ACCEPT 43 (30) 44 (35) RUN 6355
EXCHANGE_ACCEPT 38 (37) 39 (41) RUN 6356
EXCHANGE_ACCEPT 42 (43) 43 (35) RUN 6356
EXCHANGE_ACCEPT 40 (39) 41 (42) RUN 6356
EXCHANGE_ACCEPT 16 (15) 17 (25) RUN 6356
EXCHANGE_ACCEPT 18 (21) 19 (16) RUN 6356
EXCHANGE_ACCEPT 43 (43) 44 (30) RUN 6357
EXCHANGE_ACCEPT 37 (38) 38 (41) RUN 6357
EXCHANGE_ACCEPT 39 (37) 40 (42) RUN 6357
EXCHANGE_ACCEPT 21 (23) 22 (22) RUN 6357
EXCHANGE_ACCEPT 16 (25) 17 (15) RUN 6358
EXCHANGE_ACCEPT 18 (16) 19 (21) RUN 6358
EXCHANGE_ACCEPT 41 (39) 42 (35) RUN 6359
EXCHANGE_ACCEPT 43 (30) 44 (43) RUN 6359
EXCHANGE_ACCEPT 9 (7) 10 (10) RUN 6359
EXCHANGE_ACCEPT 17 (25) 18 (21) RUN 6359
EXCHANGE_ACCEPT 42 (39) 43 (43) RUN 6360
EXCHANGE_ACCEPT 40 (37) 41 (35) RUN 6360
EXCHANGE_ACCEPT 28 (28) 29 (24) RUN 6360
EXCHANGE_ACCEPT 16 (15) 17 (21) RUN 6360
EXCHANGE_ACCEPT 18 (25) 19 (16) RUN 6360
EXCHANGE_ACCEPT 22 (23) 23 (17) RUN 6360
EXCHANGE_ACCEPT 43 (39) 44 (30) RUN 6361
EXCHANGE_ACCEPT 23 (23) 24 (20) RUN 6361
EXCHANGE_ACCEPT 0 (2) 1 (1) RUN 6362
EXCHANGE_ACCEPT 42 (43) 43 (30) RUN 6362
EXCHANGE_ACCEPT 40 (35) 41 (37) RUN 6362
EXCHANGE_ACCEPT 16 (21) 17 (15) RUN 6362
EXCHANGE_ACCEPT 18 (16) 19 (25) RUN 6362
EXCHANGE_ACCEPT 43 (43) 44 (39) RUN 6363
EXCHANGE_ACCEPT 39 (42) 40 (37) RUN 6363
EXCHANGE_ACCEPT 35 (40) 36 (44) RUN 6363
EXCHANGE_ACCEPT 17 (21) 18 (25) RUN 6363
EXCHANGE_ACCEPT 42 (30) 43 (39) RUN 6364
EXCHANGE_ACCEPT 28 (24) 29 (28) RUN 6364
EXCHANGE_ACCEPT 16 (15) 17 (25) RUN 6364
EXCHANGE_ACCEPT 41 (35) 42 (39) RUN 6365
EXCHANGE_ACCEPT 43 (30) 44 (43) RUN 6365
EXCHANGE_ACCEPT 39 (37) 40 (42) RUN 6365
EXCHANGE_ACCEPT 37 (41) 38 (38) RUN 6365
EXCHANGE_ACCEPT 25 (29) 26 (26) RUN 6365
EXCHANGE_ACCEPT 23 (20) 24 (23) RUN 6365
EXCHANGE_ACCEPT 32 (36) 33 (34) RUN 6366
EXCHANGE_ACCEPT 16 (25) 17 (15) RUN 6366
EXCHANGE_ACCEPT 18 (21) 19 (16) RUN 6366
EXCHANGE_ACCEPT 43 (43) 44 (30) RUN 6367
EXCHANGE_ACCEPT 37 (38) 38 (41) RUN 6367
EXCHANGE_ACCEPT 41 (39) 42 (35) RUN 6367
EXCHANGE_ACCEPT 39 (42) 40 (37) RUN 6367
EXCHANGE_ACCEPT 35 (44) 36 (40) RUN 6367
EXCHANGE_ACCEPT 40 (42) 41 (35) RUN 6368
EXCHANGE_ACCEPT 32 (34) 33 (36) RUN 6368
EXCHANGE_ACCEPT 16 (15) 17 (25) RUN 6368
EXCHANGE_ACCEPT 18 (16) 19 (21) RUN 6368
EXCHANGE_ACCEPT 20 (18) 21 (22) RUN 6368
EXCHANGE_ACCEPT 43 (30) 44 (43) RUN 6369
EXCHANGE_ACCEPT 3 (0) 4 (8) RUN 6369
EXCHANGE_ACCEPT 42 (39) 43 (43) RUN 6370
EXCHANGE_ACCEPT 40 (35) 41 (42) RUN 6370
EXCHANGE_ACCEPT 28 (28) 29 (24) RUN 6370
EXCHANGE_ACCEPT 16 (25) 17 (15) RUN 6370
EXCHANGE_ACCEPT 43 (39) 44 (30) RUN 6371
EXCHANGE_ACCEPT 17 (25) 18 (21) RUN 6371
EXCHANGE_ACCEPT 19 (16) 20 (22) RUN 6371
EXCHANGE_ACCEPT 23 (23) 24 (20) RUN 6371
EXCHANGE_ACCEPT 42 (43) 43 (30) RUN 6372
EXCHANGE_ACCEPT 40 (42) 41 (35) RUN 6372
EXCHANGE_ACCEPT 34 (27) 35 (40) RUN 6372
EXCHANGE_ACCEPT 16 (15) 17 (21) RUN 6372
EXCHANGE_ACCEPT 20 (16) 21 (18) RUN 6372
EXCHANGE_ACCEPT 43 (43) 44 (39) RUN 6373
EXCHANGE_ACCEPT 42 (30) 43 (39) RUN 6374
EXCHANGE_ACCEPT 34 (40) 35 (27) RUN 6374
EXCHANGE_ACCEPT 28 (24) 29 (28) RUN 6374
EXCHANGE_ACCEPT 16 (21) 17 (15) RUN 6374
EXCHANGE_ACCEPT 43 (30) 44 (43) RUN 6375
EXCHANGE_ACCEPT 41 (42) 42 (39) RUN 6375
EXCHANGE_ACCEPT 37 (41) 38 (38) RUN 6375
EXCHANGE_ACCEPT 19 (22) 20 (18) RUN 6375
EXCHANGE_ACCEPT 21 (16) 22 (17) RUN 6375
EXCHANGE_ACCEPT 40 (35) 41 (39) RUN 6376
EXCHANGE_ACCEPT 16 (15) 17 (21) RUN 6376
EXCHANGE_ACCEPT 43 (43) 44 (30) RUN 6377
EXCHANGE_ACCEPT 37 (38) 38 (41) RUN 6377
EXCHANGE_ACCEPT 21 (17) 22 (16) RUN 6377
EXCHANGE_ACCEPT 42 (42) 43 (30) RUN 6378
EXCHANGE_ACCEPT 16 (21) 17 (15) RUN 6378
EXCHANGE_ACCEPT 37 (41) 38 (38) RUN 6379
EXCHANGE_ACCEPT 39 (37) 40 (39) RUN 6379
EXCHANGE_ACCEPT 43 (42) 44 (43) RUN 6379
EXCHANGE_ACCEPT 11 (9) 12 (4) RUN 6379
EXCHANGE_ACCEPT 17 (21) 18 (25) RUN 6379
EXCHANGE_ACCEPT 19 (18) 20 (22) RUN 6379
EXCHANGE_ACCEPT 42 (30) 43 (43) RUN 6380
EXCHANGE_ACCEPT 20 (18) 21 (16) RUN 6380
EXCHANGE_ACCEPT 16 (15) 17 (25) RUN 6380
EXCHANGE_ACCEPT 26 (29) 27 (31) RUN 6380
EXCHANGE_ACCEPT 37 (38) 38 (41) RUN 6381
EXCHANGE_ACCEPT 43 (30) 44 (42) RUN 6381
EXCHANGE_ACCEPT 11 (4) 12 (9) RUN 6381
EXCHANGE_ACCEPT 17 (15) 18 (21) RUN 6381
EXCHANGE_ACCEPT 42 (43) 43 (42) RUN 6382
EXCHANGE_ACCEPT 16 (25) 17 (21) RUN 6382
