Charm++> Running on Gemini (GNI) with 45 processes
Charm++> static SMSG
Charm++> SMSG memory: 222.2KB
Charm++> memory pool init block size: 8MB, total memory pool limit 0MB (0 means no limit)
Charm++> memory pool registered memory limit: 200000MB, send limit: 100000MB
Charm++> only comm thread send/recv messages
Charm++> Cray TLB page size: 2048K
Charm++> Running in SMP mode: numNodes 45,  15 worker threads per process
Charm++> The comm. thread both sends and receives messages
Charm++> Using recursive bisection (scheme 3) for topology aware partitions
Charm++> TORUS A SIZE 11 USING 4 5 6 10
Charm++> TORUS B SIZE 6 USING 0 1 2 3 4 5
Charm++> TORUS C SIZE 8 USING 0 1 2 3 4 5 6 7
Charm++> TORUS MINIMAL MESH SIZE IS 7 BY 6 BY 8
Redirecting stdout to files output_000/0/job0.0.log through 44
EXCHANGE_ACCEPT 43 (44) 44 (43) RUN 83
EXCHANGE_ACCEPT 39 (37) 40 (38) RUN 83
EXCHANGE_ACCEPT 17 (14) 18 (15) RUN 83
EXCHANGE_ACCEPT 11 (7) 12 (11) RUN 83
EXCHANGE_ACCEPT 38 (40) 39 (38) RUN 84
EXCHANGE_ACCEPT 16 (16) 17 (15) RUN 84
EXCHANGE_ACCEPT 43 (43) 44 (44) RUN 85
EXCHANGE_ACCEPT 25 (24) 26 (26) RUN 85
EXCHANGE_ACCEPT 40 (37) 41 (41) RUN 86
EXCHANGE_ACCEPT 28 (28) 29 (31) RUN 86
EXCHANGE_ACCEPT 20 (21) 21 (20) RUN 86
EXCHANGE_ACCEPT 8 (9) 9 (12) RUN 86
EXCHANGE_ACCEPT 16 (15) 17 (16) RUN 86
EXCHANGE_ACCEPT 43 (44) 44 (43) RUN 87
EXCHANGE_ACCEPT 11 (11) 12 (7) RUN 87
EXCHANGE_ACCEPT 40 (41) 41 (37) RUN 88
EXCHANGE_ACCEPT 16 (16) 17 (15) RUN 88
EXCHANGE_ACCEPT 18 (14) 19 (19) RUN 88
EXCHANGE_ACCEPT 39 (40) 40 (37) RUN 89
EXCHANGE_ACCEPT 43 (43) 44 (44) RUN 89
EXCHANGE_ACCEPT 31 (30) 32 (33) RUN 89
EXCHANGE_ACCEPT 34 (39) 35 (34) RUN 90
EXCHANGE_ACCEPT 6 (5) 7 (8) RUN 90
EXCHANGE_ACCEPT 18 (19) 19 (14) RUN 90
EXCHANGE_ACCEPT 16 (15) 17 (16) RUN 90
EXCHANGE_ACCEPT 43 (44) 44 (43) RUN 91
EXCHANGE_ACCEPT 39 (37) 40 (40) RUN 91
EXCHANGE_ACCEPT 23 (22) 24 (23) RUN 91
EXCHANGE_ACCEPT 31 (33) 32 (30) RUN 91
EXCHANGE_ACCEPT 11 (7) 12 (11) RUN 91
EXCHANGE_ACCEPT 17 (15) 18 (14) RUN 91
